lon_gda94,lat_gda94,Ag,As,Au,BaO,Bi,Co,Cr2O3,Cs,Cu,La,Mo,Nb,Ni,Pb,Rb,Sb,Sc,Sn,SrO,Ta,Th,U3O8,V,W,Y,Zn,Zr
139.6215782,-29.9716085,0.75,2.25,14.15,256.5,3.75,3,3,7.5,2000,30,2.25,22,2,20,390,3,5.9035,3,22,1.0363,34,3,11,6.7439,28,22,95
139.6408502,-29.9536725,0.75,17,19.2,960,3.75,1.5,2,7.5,3000,65,2.25,20,1.5,40,260,3,6.0135,10,44,1.1092,32,10,7,7.6204,19,54,95
139.5682482,-29.9505125,0.75,2.25,26.65,750,3.75,3,2,7.5,13000,26,2.25,40,3,30,350,3,7.0045,15,34,0.9487,76,14,1.5,7.5252,66,35,114
139.6542692,-29.9475115,0.375,11,17.81225,190,1.195,4,58,7.5,5000,26,2.25,7.15,15,45,50,3,12.7425,3,88,0.5246,14.49,22,155,5.3679,21.55,260,114
139.6428862,-29.9769105,1,4,26.226,350,1.195,22,76,7.5,2000,85,2.25,30,12,30,15,3,5.7345,15,175,1.2501,4,8,25,7.8963,58,150,60
139.6868982,-29.9403415,0.75,10,27.225,630,5,3,3,7.5,19000,60,4,38,4,50,310,3,8.976,15,72,1.2648,65,12,9,8.3973,98,130,360
139.6753432,-29.9616125,0.75,7,19.401,280,3.75,3,1.5,7.5,13000,160,2,26,1.5,20,52,3,5.161,10,48,1.2412,14.49,25,19,6.7006,32,24,230
139.7057512,-29.9462495,0.75,2.25,19.032,270,3.75,1.5,9,7.5,7000,185,1.5,28,1.5,30,360,3,5.2575,3.75,35,1.2353,14.49,7,4,7.4515,44,8,105
139.6906902,-29.9561265,0.75,2.25,17.076,230,3.75,2,1.5,7.5,7000,185,5,20,1.5,15,360,3,5.9665,5,22,1.2027,14.49,22,4,8.1123,85,32,55
139.6889552,-29.9454605,0.75,9,19.231,340,5,34,30,7.5,7000,45,1.5,22,6,25,70,3,4.5525,3,58,0.9853,4,3,25,6.5386,64,330,95
139.6664352,-29.9931495,0.75,6,20,240,3.75,3,10,7.5,3000,26,1.5,40,3,30,65.2,3,5.8945,3.75,12,0.6131,14.49,7,15,8.6681,64,20,80
139.6818122,-29.9975725,0.75,11,22.475,410,3.75,1.5,3,7.5,24000,115,1.5,38,1.5,10,300,4,7.132,5,16,1.013,78,20,13,7.4704,40,20,220
139.6754092,-29.9942235,0.375,9,18.2585,610,1.195,28,40,7.5,13000,85,1.5,19,5,5,125,3,5.9895,3.75,150,0.8894,16,4,25,5.4816,48,76,185
139.6873382,-29.9912845,1,8,21.895,280,3.75,30,38,7.5,7000,80,1.5,22,4,3.75,115,3,5.4605,3.75,150,0.9815,15,4,25,5.811,54,38,180
139.6676892,-29.9978275,1,4,24.4,65,3.75,1.5,7,7.5,3000,125,1.5,38,4,10,115,3,4.524,3.75,34,0.997,75,18,14,6.2532,12,13,250
139.6785382,-29.9958705,0.75,3,30.475,105,3.75,5,14,7.5,3000,95,1.5,38,3,5,220,3,6.3985,15,10,0.8638,78,22,24,7.4039,13,12,290
139.6907602,-29.9903435,0.75,19,17.075,420,3.75,3,3,7.5,10000,95,1.5,40,2,30,380,3,7.9545,10,35,1.0838,80,18,19,8.4576,96,52,310
139.7070212,-29.9833935,0.75,2.25,20.1,175,3.75,3,3,7.5,5000,155,1.5,36,6,30,65.2,3,4.72,10,28,1.1026,14.49,7,8,7.731,74,12,160
139.7062452,-29.9824925,0.75,4,10,290,3.75,1.5,3,7.5,8000,155,1.5,24,1.5,20,370,3,8.667,3.75,24,0.9885,14.49,20,11,8.6642,62,24,145
139.6644882,-29.9713835,0.75,2.25,16.8,360,3.75,1.5,1.5,7.5,3000,115,1.5,24,1.5,30,400,3,7.216,10,32,1.0956,14.49,8,6,7.3158,42,100,175
139.7056292,-29.9700515,0.75,5,26.525,700,3.75,5,1.5,7.5,16000,160,1.5,13,4,35,340,3,7.245,10,60,1.0943,14.49,30,11,5.8405,32,15,145
139.6463512,-29.9744105,0.75,14,14.326,450,3.75,3,1.5,7.5,3000,26,1.5,7.15,4,60,300,3,8.9065,10,17,0.508,14.49,7,11,7.8934,78,85,390
139.6402392,-29.9544235,0.75,9,17.7,900,3.75,1.5,3,7.5,6000,55,1.5,19,1.5,30,310,3,6.3015,3.75,24,0.9939,40,10,9,5.4127,12,40,95
139.6259522,-29.9971455,0.75,4,16.375,1060,3.75,1.5,2,7.5,2000,75,1.5,16,1.5,30,230,3,4.9695,3.75,32,0.9262,44,5,6,5.886,22,35,65
139.6286612,-29.9561805,0.75,2.25,10,1220,3.75,1.5,3,7.5,1500,110,1.5,10,1.5,35,220,3,4.62,3.75,48,0.7682,46,6,8,6.0631,19,28,75
139.6518052,-29.9658305,0.375,9,10,300,5,1.5,1.5,7.5,7000,26,1.5,7.15,1.5,90,65.2,4,10.0285,10,40,0.4949,14.49,7,6,6.8118,21.55,64,400
139.6755082,-29.9945225,0.75,8,28.25,670,3.75,35,34,7.5,12000,55,2,20,7,15,110,4,6.9425,15,140,1.0882,18,5,25,6.3152,52,80,210
139.7066302,-29.9839305,0.375,14.5733,20,181.824,0.075,3.75,17,2.8595,17000,37,7.5,33.1061,7.5,37.5,119.4578,0.927225,13.275,3.01,80.772002,0.6717,39,25.9,45.964,3.89,42.5678,31,164.922
139.6903622,-29.9835905,0.79,10.2647,15,284.073,1.67,3.75,7.5,2.338,8000,79,7.5,23.4785,7.5,124,167.5136,5.344,13.4815,14.2,83.892102,0.7336,88,6.07,18.7585,2.25,41.981,49,181.395
139.6687112,-29.9789945,0.75,22,15,190.12,1.4489,20,24.96,3.3922,44200,63.72,1.5,30.2353,16.1375,12,69.9541,3.1877,9.6385,3,49.58291,0.571,50,7,50,2.25,45.4978,95,178.898
139.6723012,-29.9778865,0.75,4,37.5,164.864,1.4637,3,8.3235,2.0115,110000,43.76,1.5,10.1808,5.4075,16,84.762,2.9582,8.6855,3,46.85971,0.517,14.49,7,20,2.25,25.7742,40,122.486
139.6487992,-29.9801615,0.75,9,37.5,195.241,1.3912,12,17.64,2.923,170000,25.103,1.5,9.5303,20.4525,16,74.39831,3.392,9.034,10,56.88151,0.6591,12,8,70,2.25,27.0417,16,113.934
139.6539342,-29.9733485,0.75,5,37.5,187.223,1.1758,12,23.9675,3.9304,34000,43.52,3,12.518,23.265,32,90.9782,2.870125,12.082,6,75.9636,0.5274,14.49,7,90,2.25,24.0756,75,161.425
139.6716372,-29.9776065,0.75,4,37.5,141.141,1.6116,12,5.4275,2.1445,44200,86.545,8,29.7076,8.515,4,94.8711,4.0327,13.7155,3,81.9712,0.555,50,24,10,2.25,44.1591,65,194.067
139.7073842,-29.9926495,0.2,3,8.36,30,0.1,1,20,0.1,16000,4,4,11.2773,9,45.5,2.5,1,3.75,7.5,10,1.5,1.5,2.5,15,2.25,5,50,11.507
139.7082262,-29.9925035,0.1,1,5.337,485,0.1,14,15,1.7,13000,23,1.5,10.6432,6,13.5,50,0.375,3.75,7.5,66.5,1.5,9.5,6.5,20,16,36,24,76.272
139.7077352,-29.9927695,0.075,1.5,7.725,70,0.1,0.6,15,0.3,5000,3,1.5,12.4013,2,17.5,5.5,1,3.75,7.5,25,1.5,1,8.5,15,2.25,3,33,13.503
139.7054622,-29.9941165,0.375,0.5,2.5,106,1.22665,2.26,10,0.5,3000,108,1.275,39.1,4,7.9,45,0.59,9.7,7.9785,20.5,0.52,65.4,25.7,24,1,113.9,9,429.1
139.7042242,-29.9936525,0.375,15.7,2.5,487,0.8842,3.11,10,1.42,5000,124,1.7135,43.2,4,28.5,277.6,0.1,9.8,7.5885,34,0.52,66.1,25.6,24,1,107.9,56,114
139.7040022,-29.9948235,0.375,1.4,2.5,48,0.594575,3.98,10,0.5,4000,64,1.437,39.9,6,6.6,38.1,0.64,9.1,7.6333,34.1,0.52,73,16,20,5.01,21.55,9,418.6
139.6989262,-29.9945025,0.375,10.7,2.5,460,0.84685,2.77,7.4,2.69,10000,116,1.1745,38.7,4,15.8,267.3,0.47,9,7.224,30,0.52,70.7,7,19,2.25,113.5,24,114
139.6965432,-29.9943895,0.375,0.5,2.5,819,0.279725,10.45,8.2,1.41,4000,129,1.406,40.6,3,14.1,231.5,0.1,7.5,6.647,35.2,0.52,72.9,21.5,19,2.25,21.55,13,114
139.6950772,-29.9955475,0.375,0.5,2.5,113,0.996075,10.45,8.1,2.13,3000,119,1.28925,38.6,4,7.6,210.3,1.19,8.5,9.0575,16.4,0.52,74.1,22.5,20,2.25,21.55,9,429.9
139.6954802,-29.9964535,0.375,0.5,2.5,128,0.7284,10.45,5.9,1.13,3000,110,1.2925,36.6,2,6.2,153,0.56,9.5,8.0095,18.7,0.52,65.2,29.1,18,2.25,21.55,12,423.1
139.6970342,-29.9964695,0.375,0.5,2.5,923,0.60715,10.45,7.1,2.91,3000,162,2.20625,7.15,3,24.4,238.1,0.72,13.6,6.8548,77.6,0.52,14.49,21.3,39,2.25,21.55,13,114
139.6965082,-29.9970955,0.375,0.5,2.5,77,0.51495,43.1,7.3,1.5,3000,124,1.302,39.4,3,6,72.5,0.94,9.4,7.6985,24.9,0.52,73.1,15.1,20,2.25,21.55,10,114
139.6951592,-29.9971725,0.375,0.5,2.5,31,1.2292,10.45,7.2,0.5,2000,109,1.6045,39,2,7,14.7,0.1,9.3,8.3688,41.5,0.52,74.8,17.3,16,2.25,112.6,7,426.6
139.6943252,-29.9975255,0.375,1.48,2.5,228,1.165875,10.45,6.6,1.63,5000,75,1.46325,38.6,2,12.1,194.6,0.77,8.5,7.7768,24.5,0.52,68.4,27.9,18,2.25,111.6,15,406.8
139.6988392,-29.9833425,0.375,3,3.53425,256.5,0.1,0.6,15,1.8,11000,100,1.5,20,1.5,21,65.2,1,5,7.5,50,3,14.49,13.5,15,2.25,65,140,285
139.6977182,-29.9866615,0.7,2.5,26.79575,256.5,0.4,9,10,0.2,49000,80,1.5,10,30,6,95,1.5,10,10,260,1.5,15,11,75,2.25,27,55,170
139.6830772,-29.9902155,0.7,43,25.23,256.5,0.6,1,30,1.6,20000,47,5,7.5,3,4.5,185,0.5,5,7.5,145,1.5,16,4.5,55,2.25,11,43.5,155
139.6979332,-29.9868535,0.375,0.8,4.253,1185,0.2,3,20,0.12,24000,104,2,7.15,7,15,158,0.2,22,4,136.5,0.52,61.2,17.2,47,2,87.7,18,114
139.5681962,-29.9509295,0.375,3,2.5065,694,0.44,1,10,1.31,4000,151.5,2,45.2,0.75,13,362,0.32,6,8,49.5,0.52,72.7,10.75,11,4,21.55,30,114
139.6250432,-29.8776055,0.375,0.2,6.24825,472,0.02,3,10,2.14,1000,10.9,0.75,5.6,0.75,6,92.4,0.0375,2,3,66.5,0.4,3.45,0.74,18,0.75,8,28,103
139.6099576,-29.9491656,0.075,34,7.5,1044,1.21,3.2,2,3.65,750,94.835,0.6,21.23,2,33,348.99,0.46,7,3.8,65.81,0.52,43.99,17.14,7,2.7,55.63,33,117.2
139.6020932,-29.9476838,0.2,6,7.5,1013.2,0.64,2.3,4,1.98,750,79.885,5.1,29.86,3,8,292.64,0.75,12,10.4,9.69,0.52,44.33,9.91,25,5.5,36.49,44,143.1
139.6085311,-29.9422207,0.075,3,7.5,1259.6,0.18,1.5,4,1.84,155000,98.795,0.2,28.94,2,23,332.49,0.47,10,7.7,89.05,0.52,39.79,7,10,8.9,80.85,13,157.2
139.6084004,-29.9419395,0.3,24,7.5,199.5,0.68,10.45,33,7.12,103000,49.5405,2.9,9.71,21,12,238.7,0.23,5.6,2.8,10.51,0.53,3.58,7,25,2.7,35.98,235,174
139.6068811,-29.9416708,0.075,5,7.5,1102,0.29,4.8,3.75,3.62,16000,87.982,2.6,25.03,1,26,368.53,0.48,10,5.5,27.92,0.52,42.76,7,16,7.9,56.01,22,155.2
139.6058858,-29.9409746,0.4,15,15,1001.5,1.195,40.7,6,2.6,44200,24.549,1.2,8.33,13,15,61.49,1.94,8,9.8,29.93,1.23,3.69,7,175,7.4,10.45,62,45.2
139.6153099,-29.9285495,0.075,1.5,7.5,443.2,0.01,0.8,3.75,0.84,2000,84.8925,0.7,4.48,2,4,110.16,0.075,1,0.2,22.94,0.15,14.38,0.96,3,1.1,13.3,14,36.5
139.6153479,-29.9280536,0.3,9,10,83.9,1.195,8.6,26,0.26,107000,12.8525,1.5,3.88,4,39,5.92,0.37,8,2.1,193.77,0.09,8.69,2.39,48,1.8,10.6,38,53.3
139.6162827,-29.9278739,0.075,1.5,7.5,235.1,0.16,4.8,12,9.4,5000,74.545,0.2,17.68,6,0.75,409.83,0.075,9,2.8,9.34,1.16,40.29,2.01,10,6.2,29.68,36,100.9
